Date,SBER,GAZP,ROSN,GMKN,YNDX,LKOH,PLZL,POSI,MRKP,MDMG,MGNT,RENI,UWGN,SU26238RMFS4,RGBITR,CNYRUB_TOM,GLDRUB_TOM
2022-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-04,-0.004034710497074533,-0.0033414540916420934,0.0041651413884348214,-0.002741370687937932,-0.007871080103128798,0.006710934141713822,0.0024267649281883,-0.006377723283213592,0.027421743117634106,0.0025422203631798464,0.010023109781813422,-0.008231335536299504,0.0,0.0006245121202194365,0.0009621147008905639,0.011063942648049885,0.01767925738907803
2022-01-05,-0.058299805261818695,-0.05106192433998318,-0.038549381904322486,-0.01312513445036607,-0.04679430018450541,-0.03109684530351959,-0.03480143745888503,-0.007134394113874092,-0.010298752200574473,-0.008621266439562025,-0.030283233491358235,-0.01077209698191107,0.0,-0.00501825615695802,0.001028607171218147,0.018241411556256377,0.019717837852860874
2022-01-06,0.023790563108629908,0.032683895209970525,0.01896189038898654,0.011665718815962635,-0.011386215042808784,0.026777184159003063,-0.019022148775467634,-0.009592399691439409,-0.005397563446744207,-0.009804000096620856,0.024877814924450375,-0.030581501399675293,0.0,-0.0027938463830452114,-0.005001193136227404,-0.008136062404334,-0.02108426940229555
2022-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008202801278596827,-0.01099919430067037
2022-01-10,-0.0076160269771401575,-0.006172769661638657,0.0006646726731909598,0.009746165887166904,-0.00717087247072146,0.011281105239634088,-0.0051696530984377854,-0.057016680440235806,0.008704718176596888,-0.004690787517304572,-0.011264653998819063,-0.010906866034609905,0.0,-0.007896262122225505,-0.0051455031038320845,-0.005293818609715163,0.0025336539458133615
2022-01-11,0.000651164407743933,-0.00075609972485688,0.01908580474422554,0.00956783049254334,0.033232500662205386,0.006033422761250061,0.010514660964491069,-0.005628052717002114,-0.0008257638784671666,0.01814664803269636,0.005920680409727576,0.010587768015628253,0.0,-0.009101314246345525,-0.005514453097624294,-0.008742992039526519,0.0018346711981288872
2022-01-12,-0.00508347594677842,0.010677648215854433,0.022719095270439697,0.012810490424059478,0.012598375394655007,0.020906684819313643,0.00040376307731465106,0.025830760034521442,0.021251310583357615,0.01830053481390145,0.02111773673855598,-0.010695289116747919,0.0,-0.004581909505111733,-0.0026399261067657125,0.006634613858948311,0.00697265212787079
2022-01-13,-0.06362066884734217,-0.028701443142593937,-0.0396477598767701,-0.0513808715649941,-0.05262158648098792,-0.043309520715656344,-0.01242958445108985,-0.0312327024310986,-0.02414686586393933,-0.03793306722102234,-0.05351409113231146,-0.01954459607297017,0.0,-0.026643423484848345,-0.00846374369420689,0.0210363880660969,0.016941900591007756
2022-01-14,-0.0431182067806053,-0.005465143696466762,0.0036399775464309517,-0.008266690292414317,-0.05661097423510695,-0.0009006305021866926,-0.025164807764970605,0.01713377805159691,-0.010828927144984117,-0.016870128303485034,-0.01788888743237342,-0.02194966738016704,0.0,-0.018096972741681535,-0.019155062330591336,-0.00041675349634247945,-0.0005601299647933057
