,Mean_Daily,Std_Daily,Skewness,Kurtosis
SBER,-1.81126853957839e-05,0.02535343540606412,-6.308568768937709,109.43317064973516
GAZP,-0.0010210081813080032,0.028660478332202824,-2.8945264948005875,43.82998075894633
ROSN,-0.0003949802822044575,0.025323959437856956,-5.532076421112188,103.4456542732286
GMKN,-0.00045600327103758476,0.020851233125548898,-0.024838993510978447,5.406544572945188
YNDX,1.1227412919787737e-05,0.02853404623312714,-4.262357012787913,68.63705456053827
LKOH,-0.00012123523270866167,0.02108322220196157,-1.8794450950587216,26.602571300413533
PLZL,0.0006232934324242373,0.023246054153847364,-1.6608016064157498,24.872266082784016
POSI,0.00015215341309773726,0.02911227450872107,2.436474786754905,42.59288535952334
MRKP,0.0008340730359957836,0.0261370430398844,-3.3467577909496065,43.72171128091042
MDMG,0.0006008111380522542,0.02376414831109287,-0.7853032969676575,13.715189881715148
MGNT,-0.0005943598080787879,0.023835149450439876,-2.575846221157226,39.20937082300753
RENI,-3.1271211778244504e-05,0.02611987252072447,0.3308905338218374,15.072054123466682
UWGN,-0.0004579281548575084,0.012452411842196814,1.1879674625211112,29.667729546414563
SU26238RMFS4,-0.00040231870757932893,0.011218397847019715,-2.8877043802083353,59.768819425316536
RGBITR,0.00022294815554862728,0.007197770857973955,-8.08473420177238,186.44630459975355
CNYRUB_TOM,-3.9223207632247327e-05,0.017050067892089522,2.2970159757084336,34.27687661113067
GLDRUB_TOM,0.0009216690843142179,0.017110255974954396,1.6869463484049245,20.142683194887358
