Date,RGBITR
2023-03-21,613.91
2023-03-22,615.27
2023-03-23,616.0
2023-03-24,616.73
2023-03-27,617.41
2023-03-28,617.06
2023-03-29,617.08
2023-03-30,617.24
2023-03-31,617.39
2023-04-03,618.09
2023-04-04,617.14
2023-04-05,616.93
2023-04-06,617.01
2023-04-07,615.73
2023-04-10,617.33
2023-04-11,617.63
2023-04-12,617.61
2023-04-13,617.6
2023-04-14,617.95
2023-04-17,618.52
2023-04-18,618.71
2023-04-19,618.99
2023-04-20,619.65
2023-04-21,619.86
2023-04-24,620.89
2023-04-25,620.97
2023-04-26,621.18
2023-04-27,621.93
2023-04-28,623.43
2023-05-02,624.55
2023-05-03,624.84
2023-05-04,624.8
2023-05-05,625.37
2023-05-08,625.97
2023-05-10,625.96
2023-05-11,626.19
2023-05-12,625.87
2023-05-15,626.35
2023-05-16,626.09
2023-05-17,626.06
2023-05-18,626.68
2023-05-19,627.21
2023-05-22,627.76
2023-05-23,627.65
2023-05-24,627.87
2023-05-25,628.11
2023-05-26,628.28
2023-05-29,628.41
2023-05-30,628.38
2023-05-31,628.53
2023-06-01,628.24
2023-06-02,628.38
2023-06-05,628.68
2023-06-06,628.73
2023-06-07,628.74
2023-06-08,628.74
2023-06-09,628.8
2023-06-13,628.9
2023-06-14,628.23
2023-06-15,628.27
2023-06-16,628.68
2023-06-19,628.75
2023-06-20,627.96
2023-06-21,627.63
2023-06-22,627.48
2023-06-23,627.87
2023-06-26,627.17
2023-06-27,627.49
2023-06-28,627.46
2023-06-29,627.19
2023-06-30,626.37
2023-07-03,626.47
2023-07-04,626.2
2023-07-05,626.62
2023-07-06,625.92
2023-07-07,625.77
2023-07-10,625.2
2023-07-11,624.75
2023-07-12,624.54
2023-07-13,624.65
2023-07-14,624.22
2023-07-17,623.22
2023-07-18,622.26
2023-07-19,621.74
2023-07-20,622.19
2023-07-21,621.83
2023-07-24,622.51
2023-07-25,623.08
2023-07-26,623.63
2023-07-27,623.71
2023-07-28,623.33
2023-07-31,623.11
2023-08-01,622.91
2023-08-02,622.61
2023-08-03,621.98
2023-08-04,621.49
2023-08-07,621.46
2023-08-08,620.71
2023-08-09,618.93
2023-08-10,617.78
2023-08-11,616.77
2023-08-14,614.07
2023-08-15,610.43
2023-08-16,612.38
2023-08-17,614.24
2023-08-18,616.63
2023-08-21,617.16
2023-08-22,616.51
2023-08-23,615.6
2023-08-24,614.29
2023-08-25,613.79
2023-08-28,613.61
2023-08-29,613.16
2023-08-30,613.15
2023-08-31,613.04
2023-09-01,612.67
2023-09-04,611.89
2023-09-05,610.47
2023-09-06,606.39
2023-09-07,600.33
2023-09-08,597.66
2023-09-11,597.57
2023-09-12,600.44
2023-09-13,603.77
2023-09-14,601.15
2023-09-15,599.95
2023-09-18,602.84
2023-09-19,602.46
2023-09-20,600.83
2023-09-21,601.31
2023-09-22,600.76
2023-09-25,600.58
2023-09-26,599.89
2023-09-27,599.38
2023-09-28,596.68
2023-09-29,595.07
2023-10-02,593.14
2023-10-03,593.52
2023-10-04,592.13
2023-10-05,591.37
2023-10-06,590.97
2023-10-09,590.41
2023-10-10,589.79
2023-10-11,589.71
2023-10-12,593.26
2023-10-13,593.92
2023-10-16,595.37
2023-10-17,595.78
2023-10-18,594.18
2023-10-19,593.35
2023-10-20,593.7
2023-10-23,594.32
2023-10-24,594.34
2023-10-25,594.62
2023-10-26,594.68
2023-10-27,591.02
2023-10-30,589.47
2023-10-31,590.69
2023-11-01,592.15
2023-11-02,598.49
2023-11-03,603.22
2023-11-06,609.0
2023-11-07,605.71
2023-11-08,605.78
2023-11-09,610.97
2023-11-10,614.64
2023-11-13,611.97
2023-11-14,607.88
2023-11-15,610.48
2023-11-16,611.97
2023-11-17,612.74
2023-11-20,614.09
2023-11-21,615.32
2023-11-22,616.95
2023-11-23,618.12
2023-11-24,618.18
2023-11-27,617.9
2023-11-28,618.1
2023-11-29,618.63
2023-11-30,617.69
2023-12-01,616.64
2023-12-04,611.47
2023-12-05,609.86
2023-12-06,608.96
2023-12-07,608.43
2023-12-08,609.17
2023-12-11,608.11
2023-12-12,605.68
2023-12-13,604.44
2023-12-14,604.08
2023-12-15,604.29
2023-12-18,609.2
2023-12-19,612.69
2023-12-20,615.86
2023-12-21,618.2
2023-12-22,618.85
2023-12-25,619.2
2023-12-26,617.85
2023-12-27,616.99
2023-12-28,616.8
2023-12-29,616.37
2024-01-03,619.24
2024-01-04,619.35
2024-01-05,619.3
2024-01-08,620.02
2024-01-09,617.8
2024-01-10,616.59
2024-01-11,614.76
2024-01-12,612.8
2024-01-15,614.38
2024-01-16,615.02
2024-01-17,617.06
2024-01-18,619.0
2024-01-19,620.5
2024-01-22,620.83
2024-01-23,621.23
2024-01-24,620.95
2024-01-25,621.69
2024-01-26,622.31
